Code,Secteur,Indicateur,Questions de veille,Source,Organisme,Catégorie,Fréquence,Unité,Statut,Seuil d'alerte (%),Accès,Format,URL de la source,Observations en base,Période couverte,Dernier run
A7,Automobile,Brevets en technologies de transport bas carbone (OCDE),QV4,Brevets par domaine technologique,OCDE,hard,annuelle,nombre,certifie,38,libre,API SDMX,https://data-explorer.oecd.org/vis?df[ag]=OECD.STI.PIE&df[id]=DSD_PATENTS@DF_PATENTS_OECDSPECIFIC,918,2014 → 2022,214
A8,Automobile,"Avis de marchés publics UE en pièces mécaniques automobiles (TED, CPV 34.31/34.32)","QV2, QV5",Tenders Electronic Daily : marchés publics UE,Office des publications de l'UE,hard,mensuelle,nombre d'avis,a_confirmer,,libre,API,https://ted.europa.eu,0,,
A9,Automobile,Intensité de signalement : dynamique technologique (triage IA des flux),QV4,Intensité de signalement dans les flux qualifiés (dérivation interne),Dispositif de veille : dérivation du triage IA (v_intensite_signalement),composite,mensuelle,pourcentage,a_confirmer,,libre,sql,interne : flux_sources → flux_items → flux_triage_ia → v_intensite_signalement,2,2026-07 → 2026-08,158
H1,Horlogerie,Exportations horlogères suisses par marché de destination,QV2,UN Comtrade : commerce international par code SH,Nations Unies,hard,mensuelle,USD,certifie,25,libre_quota,API + CSV,https://comtradeplus.un.org,124535,2023-01 → 2026-07,214
H10,Horlogerie,Intensité de signalement : dynamique technologique (triage IA des flux),QV4,Intensité de signalement dans les flux qualifiés (dérivation interne),Dispositif de veille : dérivation du triage IA (v_intensite_signalement),composite,mensuelle,pourcentage,a_confirmer,,libre,sql,interne : flux_sources → flux_items → flux_triage_ia → v_intensite_signalement,1,2026-08 → 2026-08,172
H11,Horlogerie,Entreprises de la branche horlogère et microtechnique suisse (recensement CP),QV1,Recensement du personnel et des entreprises des industries horlogère et microtechnique suisses,Convention patronale de l'industrie horlogère suisse,composite,annuelle,nombre,a_confirmer,5,libre,PDF (lecture multimodale),https://cpih.ch/statistiques/,37,2013 → 2025,168
H12,Horlogerie,"Emplois horlogers suisses (STATENT, NOGA 26.52)",QV1,"STATENT : Etablissements et emplois selon année, canton, genre économique et unité d'observation (table px-x-0602010000_103)",Office fédéral de la statistique,hard,annuelle,nombre,certifie,5,libre,"API PX-Web (JSON-stat2, requête POST)",https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-0602010000_103/px-x-0602010000_103.px,55,2014 → 2024,214
H2,Horlogerie,Emploi de la branche horlogère et microtechnique suisse (recensement CP),QV1,Recensement du personnel et des entreprises des industries horlogère et microtechnique suisses,Convention patronale de l'industrie horlogère suisse,composite,annuelle,nombre,certifie,5,libre,PDF (lecture multimodale),https://cpih.ch/statistiques/,117,2005 → 2025,168
H3,Horlogerie,"Commerce mondial d'articles d'horlogerie (SH ch. 91), par pays","QV2, QV3",UN Comtrade : commerce international par code SH,Nations Unies,hard,annuelle,USD,certifie,10,libre_quota,API + CSV,https://comtradeplus.un.org,2054,2015 → 2025,214
H4,Horlogerie,Dépôts de brevets en horlogerie (CIB G04),QV4,Statistiques de propriété intellectuelle,OMPI,hard,annuelle,nombre,certifie,10,libre,CSV,https://www.wipo.int/ipstats,0,,
H5,Horlogerie,Climat de branche et perspectives,"QV1, QV5",Swiss Watch Industry Study,Deloitte,composite,annuelle,qualitatif,a_confirmer,,libre,PDF,https://www.deloitte.com/ch,0,,
H6,Horlogerie,Production horlogère UE (NACE C26.52),QV1,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,indice,certifie,6,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,2892,2014-01 → 2026-06,214
H7,Horlogerie,"Exportations suisses de montres-bracelets, valeur (FH)",QV2,Statistiques d'exportation horlogère,Fédération de l'industrie horlogère suisse,hard,mensuelle,mio CHF,certifie,8,libre,PDF / communiqués,https://www.fhs.swiss,95,2025-01 → 2026-07,152
H8,Horlogerie,"Exportations de montres mécaniques, valeur (FH)","QV1, QV2",Statistiques d'exportation horlogère,Fédération de l'industrie horlogère suisse,hard,mensuelle,mio CHF,certifie,8,libre,PDF / communiqués,https://www.fhs.swiss,95,2025-01 → 2026-07,152
H9,Horlogerie,"Exportations de montres mécaniques, volume (FH)",QV1,Statistiques d'exportation horlogère,Fédération de l'industrie horlogère suisse,hard,mensuelle,milliers de pièces,certifie,8,libre,PDF / communiqués,https://www.fhs.swiss,95,2025-01 → 2026-07,152
M1,Médical,"Commerce mondial d'instruments médicaux (SH 9018-9022), par pays","QV2, QV3",UN Comtrade : commerce international par code SH,Nations Unies,hard,annuelle,USD,certifie,12,libre_quota,API + CSV,https://comtradeplus.un.org,2289,2015 → 2025,214
M2,Médical,Production d'instruments et fournitures médicales et dentaires UE (NACE C32.5),QV1,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,indice,certifie,12,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,3460,2015-01 → 2026-06,214
M3,Médical,Dépenses de santé par pays (part du PIB et par habitant),"QV2, QV5",Global Health Expenditure Database,OMS,hard,annuelle,pourcentage du PIB,certifie,19,libre,API / CSV,https://apps.who.int/nha/database,9843,2014 → 2023,214
M4,Médical,"Emplois medtech et mécanique de précision en Suisse (NOGA 26.6, 32.5 — y c. mécaniciens-dentistes et lunetterie)",QV1,"STATENT : Etablissements et emplois selon année, canton, genre économique et unité d'observation (table px-x-0602010000_103)",Office fédéral de la statistique,hard,annuelle,nombre,certifie,5,libre,"API PX-Web (JSON-stat2, requête POST)",https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-0602010000_103/px-x-0602010000_103.px,111,2014 → 2024,214
M5,Médical,Panorama de la branche medtech suisse,"QV1, QV3",Swiss Medical Technology Industry report,Swiss Medtech,composite,bisannuelle,mia CHF,a_confirmer,,libre,PDF,https://www.swiss-medtech.ch,0,,
M6,Médical,"Brevets en technologie médicale, dépôts à l'OEB (OCDE)",QV4,Brevets par domaine technologique,OCDE,hard,annuelle,nombre,certifie,20,libre,API SDMX,https://data-explorer.oecd.org/vis?df[ag]=OECD.STI.PIE&df[id]=DSD_PATENTS@DF_PATENTS_OECDSPECIFIC,918,2014 → 2022,214
M7,Médical,"Avis de marchés publics UE en équipements médicaux (TED, CPV 33)","QV2, QV5",Tenders Electronic Daily : marchés publics UE,Office des publications de l'UE,hard,mensuelle,nombre d'avis,certifie,,libre,API,https://ted.europa.eu,182,2025-08 → 2026-08,214
M8,Médical,Autorisations FDA 510(k) de dispositifs médicaux (États-Unis),"QV2, QV4",openFDA : bases publiques de la Food and Drug Administration,U.S. Food and Drug Administration,hard,mensuelle,nombre d'autorisations,certifie,,libre,API,https://open.fda.gov,191,2025-08 → 2026-08,214
T1,Socle transversal,"Indicateur composite avancé (CLI), zone G20",QV0,Principaux indicateurs économiques et CLI,OCDE,hard,mensuelle,indice,certifie,0.5,libre,API + CSV,https://data-explorer.oecd.org,1638,2023-01 → 2026-06,214
T10,Socle transversal,Part des industriels déclarant la demande comme facteur limitant (UE),QV0,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,trimestrielle,pourcentage,certifie,,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,969,2014-T1 → 2026-T3,214
T11,Socle transversal,Production manufacturière suisse (NACE C),QV0,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,indice,certifie,5,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,2892,2014-01 → 2026-06,214
T12,Socle transversal,Brevets en technique de surface et revêtement (OMPI),,Indicateurs de brevets par domaine technologique,OMPI,hard,annuelle,nombre,restreint,,libre,ZIP / CSV,https://www.wipo.int/en/web/ip-statistics,161,2000 → 2022,113
T13,Socle transversal,Brevets en machines-outils (OMPI),,Indicateurs de brevets par domaine technologique,OMPI,hard,annuelle,nombre,restreint,,libre,ZIP / CSV,https://www.wipo.int/en/web/ip-statistics,161,2000 → 2022,113
T2,Socle transversal,Taux de change CHF/USD et CHF/EUR,QV0,Taux de change de référence,Banque nationale suisse,hard,mensuelle,taux,certifie,7,libre,API / CSV,https://data.snb.ch,4308,2023-01 → 2026-08,214
T3,Socle transversal,Commerce mondial de marchandises (volume),QV0,World Trade Monitor,CPB Netherlands Bureau for Economic Policy Analysis,hard,mensuelle,indice,certifie,3,libre,Excel,https://www.cpb.nl/en/worldtrademonitor/latest,287,2023-01 → 2026-05,151
T4,Socle transversal,Croissance du PIB mondial,QV0,World Economic Outlook,Fonds monétaire international,hard,annuelle,pourcentage,certifie,,libre,CSV,https://www.imf.org/en/Publications/WEO,142,2014 → 2025,214
T5,Socle transversal,Attentes de production de l'industrie européenne (solde d'opinion à 3 mois),QV0,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,solde d'opinion,certifie,,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,3192,2014-01 → 2026-08,214
T6,Socle transversal,Baromètre conjoncturel KOF (Suisse),QV0,Baromètre conjoncturel KOF,KOF ETH Zurich,hard,mensuelle,indice,certifie,15,libre,API / CSV,https://data.kof.ethz.ch,1167,2023-01 → 2026-08,214
T7,Socle transversal,Production de l'usinage et du traitement des métaux UE (NACE C25.6),QV0,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,indice,certifie,10,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,3102,2014-01 → 2026-06,214
T8,Socle transversal,État du carnet de commandes de l'industrie UE (enquête de conjoncture),QV0,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,mensuelle,solde,certifie,,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,2918,2014-01 → 2026-08,214
T9,Socle transversal,Taux d'utilisation des capacités de l'industrie UE,QV0,Eurostat : statistiques conjoncturelles et structurelles,Commission européenne,hard,trimestrielle,pourcentage,certifie,4.5,libre,API + CSV,https://ec.europa.eu/eurostat/data/database,969,2014-T1 → 2026-T3,214
